run,segment,pixel,accepted,chi2r,cen1,cen1_err_pct,cen2,cen2_err_pct,attempt,window
8693,0,1031,0,,,,,,,
8693,0,1072,0,,,,,,,
8693,0,1076,0,,,,,,,
8693,0,1079,0,,,,,,,
8693,0,1080,0,,,,,,,
8694,0,1041,0,,,,,,,
8694,0,1052,0,,,,,,,
8694,0,1053,0,,,,,,,
8694,0,1087,0,,,,,,,
8694,0,1091,0,,,,,,,
8696,0,1098,0,,,,,,,
8697,0,1039,0,,,,,,,
8698,0,1089,0,,,,,,,
8698,0,1116,0,,,,,,,
8699,0,1099,0,,,,,,,
8699,0,1100,0,,,,,,,
8700,0,1079,0,,,,,,,
8700,0,1109,0,,,,,,,
8700,0,1117,0,,,,,,,
8704,0,1049,0,,,,,,,
8704,0,1052,0,,,,,,,
8704,0,1056,0,,,,,,,
8705,0,1013,0,,,,,,,
8705,0,1040,0,,,,,,,
8705,0,1047,0,,,,,,,
8705,0,1048,1,1.7,149.6,9.1,182.3,7.3,"fill-in 1/2 found, widths: sig1=8,sig2=8",recipe window
8705,0,1051,0,,,,,,,
8705,0,1055,0,,,,,,,
8706,0,1021,0,,,,,,,
8706,0,1031,1,1.78,171.3,13.6,197.7,6.2,"widths: sig1=8,sig2=8",recipe window
8706,0,1060,0,,,,,,,
8706,0,1067,0,,,,,,,
8706,0,1068,0,,,,,,,
8707,0,1041,0,,,,,,,
8707,0,1042,0,,,,,,,
8707,0,1076,0,,,,,,,
8707,0,1080,0,,,,,,,
8707,0,1091,0,,,,,,,
8707,0,1092,0,,,,,,,
8708,0,1053,0,,,,,,,
8708,0,1094,0,,,,,,,
8708,0,1098,0,,,,,,,
8709,0,1111,0,,,,,,,
8709,0,1116,0,,,,,,,
8710,0,1090,0,,,,,,,
8710,0,1100,0,,,,,,,
8712,0,1020,0,,,,,,,
8712,0,1026,0,,,,,,,
8712,0,1033,0,,,,,,,
8713,0,1023,0,,,,,,,
8713,0,1032,0,,,,,,,
8713,0,1061,0,,,,,,,
8713,0,1065,0,,,,,,,
8715,0,1042,0,,,,,,,
8715,0,1043,0,,,,,,,
8715,0,1074,0,,,,,,,
8715,0,1077,0,,,,,,,
8715,0,1081,0,,,,,,,
8715,0,1085,0,,,,,,,
8715,0,1089,0,,,,,,,
8715,0,1092,0,,,,,,,
8716,0,1061,0,,,,,,,
8716,0,1065,0,,,,,,,
8716,0,1068,0,,,,,,,
8717,0,1032,0,,,,,,,
8718,0,1030,0,,,,,,,
