run,segment,pixel,change,old,new,under_check_row
8653,0,29,added,,Bi-207-9177,
8653,0,32,added,,Bi-207-8779,
8653,0,33,added,,Bi-207-8779,
8653,0,38,added,,Bi-207-9177,
8653,0,43,added,,Bi-207-8779,
8653,0,44,added,,Bi-207-8779,
8653,0,55,added,,Bi-207-8779,
8653,0,2027,added,,Cd-109-9178,
8653,0,2028,added,,Cd-109-9178,
8653,0,2031,added,,Bi-207-8890,
8653,0,2037,added,,Cd-109-9178,
8653,0,2038,added,,Cd-109-9178,
8653,0,2039,added,,Cd-109-9178,
8653,0,2041,added,,Bi-207-8890,
8653,0,2042,added,,Bi-207-8890,
8653,0,2049,added,,Cd-109-9178,
8653,0,2050,added,,Cd-109-9178,
8653,0,2053,added,,Bi-207-8890,
8653,0,2072,added,,Bi-207-9176,
8653,0,2073,added,,Bi-207-9176,
8653,0,2076,added,,Bi-207-9177,
8653,0,2077,added,,Bi-207-9177,
8653,0,2079,added,,Bi-207-8779,
8653,0,2080,added,,Bi-207-8779,
8653,0,2084,added,,Bi-207-9176,
8653,0,2087,added,,Bi-207-9177,
8653,0,2088,added,,Bi-207-9177,
8653,0,2091,added,,Bi-207-8779,
8653,0,2092,added,,Bi-207-8779,
8653,0,2102,added,,Bi-207-8779,
8654,0,15,added,,Bi-207-8779,
8654,0,49,added,,Cd-109-9178,
8654,0,61,added,,Cd-109-9178,
8654,0,62,added,,Cd-109-9178,
8654,0,74,added,,Cd-109-9178,
8654,0,2049,added,,Cd-109-9178,
8654,0,2050,added,,Cd-109-9178,
8654,0,2052,added,,Bi-207-8890,
8654,0,2053,added,,Bi-207-8890,
8654,0,2061,added,,Cd-109-9178,
8654,0,2062,added,,Cd-109-9178,
8654,0,2063,added,,Cd-109-9178,
8654,0,2065,added,,Bi-207-8890,
8654,0,2066,added,,Bi-207-8890,
8654,0,2074,added,,Cd-109-9178,
8654,0,2084,added,,Bi-207-9176,
8654,0,2094,added,,Bi-207-9176,
8654,0,2095,added,,Bi-207-9176,
8654,0,2097,added,,Bi-207-9177,
8654,0,2098,added,,Bi-207-9177,
8654,0,2099,added,,Bi-207-9177,
8654,0,2102,added,,Bi-207-8779,
8654,0,2107,added,,Bi-207-9177,
8654,0,2108,added,,Bi-207-9177,
8654,0,2111,added,,Bi-207-8779,
8654,0,2112,added,,Bi-207-8779,
8655,0,2062,added,,Cd-109-9178,
8655,0,2065,added,,Bi-207-8890,
8655,0,2066,added,,Bi-207-8890,
8655,0,2074,added,,Cd-109-9178,
8655,0,2075,added,,Cd-109-9178,
8655,0,2077,added,,Bi-207-8890,
8655,0,2078,added,,Bi-207-8890,
8655,0,2079,added,,Bi-207-8890,
8655,0,2086,added,,Cd-109-9178,
8655,0,2089,added,,Bi-207-8890,
8655,0,2090,added,,Bi-207-8890,
8655,0,2102,added,,Bi-207-8779,
8655,0,2107,added,,Bi-207-9177,
8655,0,2108,added,,Bi-207-9177,
8655,0,2111,added,,Bi-207-8779,
8655,0,2112,added,,Bi-207-8779,
8655,0,2116,added,,Bi-207-9177,
8655,0,2117,added,,Bi-207-9177,
8657,0,2086,added,,Cd-109-9178,
8657,0,2096,added,,Cd-109-9178,
8657,0,2097,added,,Cd-109-9178,
8657,0,2099,added,,Bi-207-8890,
8657,0,2100,added,,Bi-207-8890,
8657,0,2105,added,,Cd-109-9178,
