position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,32.818,-0.104,lower,R1C1,1036,2.28,True
1,32.818,-0.104,lower,R1C2,1040,2.12,True
1,32.818,-0.104,lower,R1C3,1055,3.59,False
1,32.818,-0.104,lower,R2C1,1084,1.91,True
1,32.818,-0.104,lower,R2C2,1088,3.53,False
1,32.818,-0.104,lower,R2C3,1091,2.34,True
1,32.818,-0.104,upper,R1C1,72,1.19,True
1,32.818,-0.104,upper,R1C2,76,0.49,True
1,32.818,-0.104,upper,R1C3,80,1.64,True
1,32.818,-0.104,upper,R2C2,29,3.7,False
2,33.218,0.446,lower,R1C1,1027,2.51,True
2,33.218,0.446,lower,R1C2,1031,2.11,True
2,33.218,0.446,lower,R2C1,1074,1.87,True
2,33.218,0.446,lower,R2C2,1078,3.95,False
2,33.218,0.446,lower,R2C3,1081,3.11,False
2,33.218,0.446,upper,R1C1,85,1.59,True
2,33.218,0.446,upper,R1C2,89,2.42,True
2,33.218,0.446,upper,R2C1,49,3.64,False
2,33.218,0.446,upper,R2C2,41,1.33,True
3,32.518,0.096,lower,R1C1,1048,3.82,False
3,32.518,0.096,lower,R1C2,1052,1.55,True
3,32.518,0.096,lower,R1C3,1055,4.0,False
3,32.518,0.096,lower,R2C1,1095,3.69,False
3,32.518,0.096,lower,R2C2,1099,1.72,True
3,32.518,0.096,lower,R2C3,1102,1.69,True
3,32.518,0.096,upper,R1C1,60,2.58,True
3,32.518,0.096,upper,R1C2,64,1.94,True
3,32.518,0.096,upper,R1C3,68,2.18,True
3,32.518,0.096,upper,R2C1,36,4.0,False
3,32.518,0.096,upper,R2C3,44,4.03,False
4,32.118,0.246,lower,R1C1,1061,3.39,False
4,32.118,0.246,lower,R1C2,1065,2.83,False
4,32.118,0.246,lower,R1C3,1068,3.27,False
4,32.118,0.246,lower,R2C1,1105,3.58,False
4,32.118,0.246,lower,R2C2,1109,2.48,True
4,32.118,0.246,upper,R1C1,48,2.48,True
4,32.118,0.246,upper,R1C2,52,1.57,True
4,32.118,0.246,upper,R1C3,56,2.56,True
4,32.118,0.246,upper,R2C1,26,4.03,False
4,32.118,0.246,upper,R2C2,20,4.27,False
5,32.818,0.246,lower,R1C1,1037,1.85,True
5,32.818,0.246,lower,R1C2,1041,2.55,True
5,32.818,0.246,lower,R1C3,1056,3.55,False
5,32.818,0.246,lower,R2C1,1085,1.55,True
5,32.818,0.246,lower,R2C2,1089,3.86,False
5,32.818,0.246,lower,R2C3,1092,2.34,True
5,32.818,0.246,upper,R1C1,73,0.74,True
5,32.818,0.246,upper,R1C2,77,1.12,True
5,32.818,0.246,upper,R1C3,81,2.23,True
5,32.818,0.246,upper,R2C1,37,4.22,False
5,32.818,0.246,upper,R2C2,30,2.55,True
6,33.218,0.046,lower,R1C1,1026,1.98,True
6,33.218,0.046,lower,R1C2,1030,2.42,True
6,33.218,0.046,lower,R1C3,1044,3.6,False
6,33.218,0.046,lower,R2C1,1073,1.68,True
6,33.218,0.046,lower,R2C2,1077,3.73,False
6,33.218,0.046,lower,R2C3,1080,2.29,True
6,33.218,0.046,upper,R1C1,84,1.1,True
6,33.218,0.046,upper,R1C2,88,0.84,True
6,33.218,0.046,upper,R1C3,92,2.47,True
6,33.218,0.046,upper,R2C2,40,3.13,False
7,32.418,0.446,lower,R1C1,1049,1.72,True
7,32.418,0.446,lower,R1C2,1053,2.68,False
7,32.418,0.446,lower,R1C3,1069,3.5,False
7,32.418,0.446,lower,R2C1,1096,1.43,True
7,32.418,0.446,lower,R2C2,1100,3.98,False
7,32.418,0.446,upper,R1C1,61,0.76,True
7,32.418,0.446,upper,R1C2,65,1.59,True
7,32.418,0.446,upper,R1C3,69,2.12,True
7,32.418,0.446,upper,R2C1,27,3.71,False
7,32.418,0.446,upper,R2C2,21,1.96,True
8,33.418,-0.354,lower,R1C2,1029,3.58,False
8,33.418,-0.354,lower,R1C3,1032,1.97,True
8,33.418,-0.354,lower,R2C2,1076,1.53,True
8,33.418,-0.354,lower,R2C3,1079,2.45,True
