position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,33.219,0.414,3,5
2,32.819,-0.136,4,6
3,33.219,-0.486,4,4
4,32.319,0.214,5,5
5,32.419,-0.486,4,5
6,32.519,0.064,5,6
7,32.769,0.414,5,4
8,33.269,0.164,6,4
9,33.269,-0.236,5,5
10,33.719,-0.386,5,5
11,33.769,0.314,5,5
12,32.869,-0.386,4,3
13,34.119,-0.186,5,4
14,33.669,-0.086,5,5
15,34.069,0.464,4,5
16,32.819,0.214,5,6
17,31.869,0.014,4,4
18,34.069,-0.486,4,4
19,32.869,0.064,6,4
20,32.469,0.464,5,4
21,34.069,0.114,4,4
22,33.669,-0.486,4,5
23,32.219,-0.186,5,4
24,32.069,0.164,0,5
25,34.069,-0.336,4,5
26,33.069,0.064,6,6
27,33.619,0.464,5,4
28,31.819,-0.236,4,5
