run,segment,field,detector,slot,source,pred_x,pred_y,peak_pixel,snap_dist,peak_excess,peak_counts,n_support,n_pixels,pixels,flag
9402,29,137/137A-exb2000,lower,R1C1,Bi-207-8890,4.3,3.91,1027,0.69,11.9,10153,7,5,1018;1027;1028;1037;1038,
9402,29,137/137A-exb2000,lower,R1C2,Bi-207-9177,3.7,-2.67,1031,0.09,3.9,10437,4,4,1031;1032;1041;1042,
9402,29,137/137A-exb2000,lower,R1C3,Bi-207-9176,2.2,-8.73,1045,0.09,21.8,10540,2,4,1034;1044;1045;1056,
9402,29,137/137A-exb2000,lower,R2C1,Sn-113-9183,-2.3,4.26,1074,0.09,3.3,7167,4,4,1074;1075;1085;1086,
9402,29,137/137A-exb2000,lower,R2C2,Cd-109-9178,-3.8,-3.54,1090,0.09,46.4,94477,7,7,1078;1079;1089;1090;1091;1100;1101,
9402,30,137/137A-exb2000,upper,R1C1,Bi-207-8890,3.65,9.58,,,,,0,0,,CHECK
9402,30,137/137A-exb2000,upper,R1C2,Bi-207-9177,3.65,2.65,97,0.11,9.0,11303,7,5,96;97;98;106;107,
9402,30,137/137A-exb2000,upper,R1C3,Bi-207-9176,3.65,-4.27,101,0.11,3.8,10606,5,5,90;91;100;101;102,
9402,30,137/137A-exb2000,upper,R2C1,Sn-113-9183,-0.85,8.72,59,0.11,0.2,186,0,4,59;60;71;72,CHECK
9402,30,137/137A-exb2000,upper,R2C2,Cd-109-9178,-2.35,2.65,50,0.11,22.1,40503,6,4,38;39;49;50,
9402,30,137/137A-exb2000,upper,R2C3,Ce-139-9179,-0.85,-5.14,67,0.11,1.1,2485,0,4,54;55;66;67,CHECK
9402,30,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.9,8.25,,,,,0,0,,CHECK
9402,30,137/137A-exb2000,lower,R1C2,Bi-207-9177,5.3,1.67,1019,0.08,15.3,7926,6,4,1018;1019;1028;1029,
9402,30,137/137A-exb2000,lower,R1C3,Bi-207-9176,3.8,-4.39,1032,0.08,13.1,31915,7,7,1022;1023;1031;1032;1033;1042;1043,
9402,30,137/137A-exb2000,lower,R2C1,Sn-113-9183,-0.7,8.6,1059,0.08,10.4,4019,2,3,1059;1060;1072,
9402,30,137/137A-exb2000,lower,R2C2,Cd-109-9178,-2.2,0.8,1076,0.08,8.3,30334,4,4,1063;1075;1076;1087,
9402,30,137/137A-exb2000,lower,R2C3,Ce-139-9179,-2.2,-4.39,1079,0.08,8.7,20489,2,7,1066;1067;1078;1079;1080;1090;1091,
9402,31,137/137A-exb2000,upper,R1C1,Bi-207-8890,3.66,9.62,,,,,0,0,,CHECK
9402,31,137/137A-exb2000,upper,R1C2,Bi-207-9177,3.66,2.69,97,0.13,7.3,9216,6,5,87;97;98;106;107,
9402,31,137/137A-exb2000,upper,R1C3,Bi-207-9176,3.66,-4.24,101,0.13,3.9,11135,4,4,90;91;101;102,
9402,31,137/137A-exb2000,upper,R2C1,Sn-113-9183,-0.84,8.75,59,0.13,0.5,411,1,3,47;59;60,CHECK
9402,31,137/137A-exb2000,upper,R2C2,Cd-109-9178,-2.34,2.69,50,0.13,26.3,48161,5,5,38;39;50;51;63,
9402,31,137/137A-exb2000,upper,R2C3,Ce-139-9179,-0.84,-5.1,67,0.13,1.3,3038,1,4,54;55;67;68,CHECK
9402,31,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.87,8.41,,,,,0,0,,CHECK
9402,31,137/137A-exb2000,lower,R1C2,Bi-207-9177,5.27,1.83,1019,0.1,11.3,5837,6,4,1019;1020;1028;1029,
9402,31,137/137A-exb2000,lower,R1C3,Bi-207-9176,3.77,-4.23,1032,0.1,12.0,29234,6,4,1023;1032;1033;1043,
9402,31,137/137A-exb2000,lower,R2C1,Sn-113-9183,-0.73,8.76,1059,0.1,7.9,3051,2,4,1059;1060;1072;1073,
9402,31,137/137A-exb2000,lower,R2C2,Cd-109-9178,-2.23,0.96,1076,0.1,33.0,121135,7,6,1063;1064;1075;1076;1087;1088,
9402,31,137/137A-exb2000,lower,R2C3,Ce-139-9179,-2.23,-4.23,1079,0.1,3.2,7527,2,4,1067;1079;1080;1091,
9402,32,137/137A-exb2000,upper,R1C1,Bi-207-8890,2.16,8.63,83,0.09,1.5,620,2,3,83;84;94,CHECK
9402,32,137/137A-exb2000,upper,R1C2,Bi-207-9177,2.16,1.7,87,0.09,1.7,3717,2,4,87;88;97;98,CHECK
9402,32,137/137A-exb2000,upper,R1C3,Bi-207-9176,2.16,-5.22,91,0.09,5.9,6767,4,5,80;91;92;101;102,
9402,32,137/137A-exb2000,upper,R2C1,Sn-113-9183,-2.34,7.77,47,0.09,11.9,8659,5,4,35;36;47;48,
9402,32,137/137A-exb2000,upper,R2C2,Cd-109-9178,-3.84,1.7,39,0.09,6.4,13258,4,4,39;40;50;51,
9402,32,137/137A-exb2000,upper,R2C3,Ce-139-9179,-2.34,-6.09,55,0.09,1.7,2923,3,5,43;44;55;56;68,CHECK
9402,32,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.09,6.05,1017,0.87,22.9,18480,5,3,1017;1026;1027,
9402,32,137/137A-exb2000,lower,R1C2,Bi-207-9177,4.49,-0.53,1030,0.82,9.3,24229,4,4,1020;1029;1030;1040,
9402,32,137/137A-exb2000,lower,R1C3,Bi-207-9176,2.99,-6.6,1044,0.82,11.5,18721,5,4,1033;1034;1044;1045,
9402,32,137/137A-exb2000,lower,R2C1,Sn-113-9183,-1.51,6.39,1073,0.82,11.1,24391,4,4,1060;1072;1073;1084,
9402,32,137/137A-exb2000,lower,R2C2,Cd-109-9178,-3.01,-1.4,1077,0.92,16.3,58900,6,4,1064;1076;1077;1088,
9402,32,137/137A-exb2000,lower,R2C3,Ce-139-9179,-3.01,-6.6,1080,0.92,10.2,19226,2,4,1068;1080;1081;1092,
9402,33,137/137A-exb2000,upper,R1C1,Bi-207-8890,2.92,6.59,95,0.99,26.9,11966,7,6,84;94;95;96;104;105,CHECK
9402,33,137/137A-exb2000,upper,R1C2,Bi-207-9177,2.92,-0.34,99,0.99,3.6,8894,3,5,88;89;98;99;108,CHECK
9402,33,137/137A-exb2000,upper,R1C3,Bi-207-9176,2.92,-7.26,92,0.75,4.6,3869,3,4,91;92;102;103,
9402,33,137/137A-exb2000,upper,R2C1,Sn-113-9183,-1.58,5.73,48,0.75,5.2,8263,5,4,36;37;47;48,
9402,33,137/137A-exb2000,upper,R2C2,Cd-109-9178,-3.08,-0.34,40,0.75,12.9,45096,4,5,30;40;41;51;52,
9402,33,137/137A-exb2000,upper,R2C3,Ce-139-9179,-1.58,-8.13,56,0.75,0.2,76,0,3,44;45;56,CHECK
9402,33,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.81,4.89,1017,0.64,23.5,18934,5,4,1017;1018;1026;1027,
9402,33,137/137A-exb2000,lower,R1C2,Bi-207-9177,5.21,-1.69,1021,0.05,3.3,6432,4,4,1020;1021;1030;1031,
9402,33,137/137A-exb2000,lower,R1C3,Bi-207-9176,3.71,-7.76,1034,0.05,18.3,28813,5,4,1033;1034;1044;1045,
9402,33,137/137A-exb2000,lower,R2C1,Sn-113-9183,-0.79,5.24,1061,0.05,1.5,4220,2,4,1060;1061;1073;1074,CHECK
9402,33,137/137A-exb2000,lower,R2C2,Cd-109-9178,-2.29,-2.56,1078,0.05,13.1,27796,4,4,1065;1077;1078;1089,
9402,33,137/137A-exb2000,lower,R2C3,Ce-139-9179,-2.29,-7.76,1081,0.05,27.2,20998,2,5,1068;1069;1080;1081;1092,
9402,34,137/137A-exb2000,upper,R1C1,Bi-207-8890,3.67,6.08,95,0.08,24.1,10727,7,5,94;95;96;104;105,
9402,34,137/137A-exb2000,upper,R1C2,Bi-207-9177,3.67,-0.85,99,0.08,4.1,9919,2,6,88;89;98;99;100;109,
9402,34,137/137A-exb2000,upper,R1C3,Bi-207-9176,3.67,-7.78,103,0.08,1.7,2236,1,4,92;102;103;112,CHECK
9402,34,137/137A-exb2000,upper,R2C1,Sn-113-9183,-0.83,5.21,61,0.08,1.4,3640,2,4,48;49;60;61,CHECK
9402,34,137/137A-exb2000,upper,R2C2,Cd-109-9178,-2.33,-0.85,52,0.08,11.6,48592,4,4,41;52;53;65,
9402,34,137/137A-exb2000,upper,R2C3,Ce-139-9179,-0.83,-8.65,69,0.08,0.1,35,0,3,68;69;81,CHECK
9402,34,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.79,4.75,1017,0.7,8.6,6931,5,4,1017;1018;1026;1027,
9402,34,137/137A-exb2000,lower,R1C2,Bi-207-9177,5.19,-1.83,1021,0.12,3.2,6247,3,4,1021;1022;1030;1031,
9402,34,137/137A-exb2000,lower,R1C3,Bi-207-9176,3.69,-7.89,1034,0.12,12.6,19796,2,3,1034;1044;1045,
9402,34,137/137A-exb2000,lower,R2C1,Sn-113-9183,-0.81,5.1,1061,0.12,1.3,3745,1,4,1061;1062;1073;1074,CHECK
9402,34,137/137A-exb2000,lower,R2C2,Cd-109-9178,-2.31,-2.7,1078,0.12,59.1,124920,7,7,1065;1066;1077;1078;1079;1089;1090,
9402,34,137/137A-exb2000,lower,R2C3,Ce-139-9179,-2.31,-7.89,1081,0.12,20.9,16109,2,5,1068;1069;1080;1081;1092,
9402,35,137/137A-exb2000,upper,R1C3,Bi-207-9176,3.68,-9.55,,,,,0,0,,CHECK
9402,35,137/137A-exb2000,upper,R2C3,Ce-139-9179,-0.82,-10.41,,,,,0,0,,CHECK
9402,35,137/137A-exb2000,upper,R1C1,Bi-207-8890,3.68,4.31,96,0.08,17.1,11684,7,5,95;96;97;105;106,
9402,35,137/137A-exb2000,upper,R1C2,Bi-207-9177,3.68,-2.62,100,0.08,2.1,11379,5,6,89;90;99;100;101;110,
9402,35,137/137A-exb2000,upper,R2C1,Sn-113-9183,-0.82,3.44,62,0.08,1.5,4146,2,4,49;50;61;62,CHECK
9402,35,137/137A-exb2000,upper,R2C2,Cd-109-9178,-2.32,-2.62,53,0.08,14.3,33671,7,5,41;42;52;53;54,
9402,35,137/137A-exb2000,lower,R1C1,Bi-207-8890,5.26,4.11,1018,0.65,25.2,9471,7,5,1017;1018;1019;1027;1028,
9402,35,137/137A-exb2000,lower,R1C2,Bi-207-9177,4.66,-2.47,1031,0.92,8.6,23278,5,4,1022;1031;1032;1042,
9402,35,137/137A-exb2000,lower,R1C3,Bi-207-9176,3.16,-8.53,1034,0.95,1.0,1571,0,4,1024;1033;1034;1044,CHECK
9402,35,137/137A-exb2000,lower,R2C1,Sn-113-9183,-1.34,4.46,1074,0.92,7.6,16575,4,4,1062;1074;1075;1086,
9402,35,137/137A-exb2000,lower,R2C2,Cd-109-9178,-2.84,-3.33,1078,0.95,50.2,106103,7,7,1065;1066;1077;1078;1079;1089;1090,
9402,35,137/137A-exb2000,lower,R2C3,Ce-139-9179,-2.84,-8.53,1081,0.95,0.5,405,1,4,1056;1068;1069;1081,CHECK
9402,36,137/137A-exb2000,upper,R1C1,Bi-207-8890,3.65,9.6,,,,,0,0,,CHECK
9402,36,137/137A-exb2000,upper,R1C2,Bi-207-9177,3.65,2.67,97,0.13,8.1,10237,5,5,96;97;98;106;107,
9402,36,137/137A-exb2000,upper,R1C3,Bi-207-9176,3.65,-4.26,101,0.13,3.8,10842,2,6,90;100;101;102;110;111,
9402,36,137/137A-exb2000,upper,R2C1,Sn-113-9183,-0.85,8.73,59,0.13,0.7,576,0,4,59;60;71;72,CHECK
9402,36,137/137A-exb2000,upper,R2C2,Cd-109-9178,-2.35,2.67,50,0.13,28.4,51981,6,5,49;50;51;62;63,
